text,label
BREAKING: Riley Gaines to ‘pursue legal action’ following violent assault at TPUSA-hosted SFSU event,2
VP Harris ripped for meeting expelled Tenn. Dems — but not mass shooting victims,2
"Austin Court Finds Army Sgt. Guilty of Murder After BLM Protesters Blocked Car, Gunfire Broke Out",2
Greg Abbott working to 'swiftly' pardon Army Sergeant convicted of murder in BLM riot!,2
California Bill Would Let 12-Year-Olds Leave Home Without Parents' OK,2
"Houston school student, 15, punches teacher in the head after demanding to get his cell phone back",2
"New details, video in brutal attack of former SF fire commissioner in Marina District",2
Kamala Harris hammered for 'loud' defense of expelled Tennessee Democrats: 'What's wrong with this lady?',2
"Rebekah Jones, a rejected conspiracy theorist and twice-failed Democrat member for Congress, had his 13-year-old son detained this week in Florida on suspicion of threatening to shoot down an elementary school. https://www.conservativenewsdaily.net/",2
CNN Gives Devastating News About Joe Biden on Live TV,2
U.S. Army Sgt. Found Guilty of Murder After Shooting Protester Whom He Claimed Raised Gun First,2
Texas AG Blasts ‘Soros-Backed’ Travis County DA After Soldier’s Shooting Conviction,2
Oversight Committee Subpoenas Banks For Biden Family Associates’ Financial Records: Report,2
Immigrant Republican Lawmaker Blasts Democrat Lawmaker Expelled From TN House: He Called Me A ‘Slur’,2
NextGen America Volunteers Use Dating Apps to Increase Voter Turnout,2
Wannabe CO shooter's mom says family decided to call 911,2
CBS host warns Tennessee GOP that ‘maximalist’ expulsion of Democrats is asking for violence,2
Tennessee Republicans Perfectly Handled Insurrection-Instigators,2
"Abortion clinics will get 'special status' under new zoning rules, DC-area church warns",2
Riley Gaines defiant after 'terrifying' encounter pro-trans protesters: I won't be silenced,2
Two-Thirds Of Americans Say Biden Does Not Deserve Another Term As President,2
Police Arrest Rebekah Jones’ Son For Alleged School Shooting Threat; She Claims DeSantis ‘Kidnapped’ Him,2
Cowardly Republican Who Saved TN Insurrectionist Puts Out Incredibly Odd Statement,2
Child sex changes prohibited by Kansas legislature,2
Newsom Touring The Country As Even He Can’t Stand Being In California Anymore,2
Here's how the media covered the arrest of a Florida kid who threatened to shoot up a middle school,2
"Nashville: VP Kamala Harris Pushes ‘Assault Weapons’ Ban, Red Flag Laws",2
REPORT: Police Say No Arrests Made After Transgender Mob Assaulted Swimming Star Riley Gaines,2
Donald Trump arraignment judge under scrutiny,2
House Chair Jordan Probes NY Prosecutor in Trump Case,2
Justice Clarence Thomas Defends Vacations With GOP Mega-Donor,2
'Absolutely Shameful': MSNBC Makes Blasphemous Mockery of Good Friday,2
"Stormy Daniels Reveals Real Reason She Took 'Hush Money,' Says Trump Shouldn't Go to Prison",2
Classified US national security docs turn up in 'nightmare' leak,2
The Smearing of Clarence Thomas. The 0 gins up another phony ethics assault to tarnish the Supreme Court.,2
"House Oversight Committee subpoenas banks, Biden family associates in probe of finances",2
"Florida Sheriff Billy Woods goes off after reporter asks about gun control following teen murders
TRUTH!",2
"Israel terror attack in Tel Aviv leaves one dead, multiple injured after car rams into crowd",2
Whoopi Goldberg Blindsided by Her Audience – They Just Laughed at the “Wrong” Joke,2
Dem Rep Who Wasn’t Expelled in TN Demonstrates Why You Never Show Mercy,2
Transgender Teen Arrested For Planning School Shooting,2
Trump Maintains Nearly 30-Point Lead Over DeSantis In Latest Polling,2
Florida Sheriff Billy Woods goes off after reporter asks about gun control following teen murders,2
"Candace Owens Puts AOC In Her Place: “Your gloves off hood talk isn’t scaring anyone, clown, I was born in New York”",2
"DeSantis threatens new taxes, tolls targeting Disney as feud escalates: 'We're going to win'",2
"Bud Light, Nike trans activist partnership is the worst kind of ‘woke capitalism,’ says Vivek Ramaswamy",2
"Happy Easter! Death, Resurrection & Rebirth, Joe Biden Joke of the Week",2
The GOP’s Abortion Flop. A Wisconsin Supreme Court drubbing is the latest indication of the need to find the sensible middle.,2
"DeSantis: Republicans Have Developed ‘A Culture Of Losing,’ In Florida We Have ‘A Culture Of Winning’",2
Ford Is Eliminating AM in Cars In A Clear Attempt To Silence Conservative Talk Radio,2
"Swim Champ Riley Gaines Attacked By Radical Trans Mob, Forced To Barricade",2
"WATCH: Riley Gaines Assaulted, Held Hostage by Militant Transgender Activists After Speech",2
The GOP Has a Youth Problem and It's Costing Them,2
WATCH: WH Press Sec Refuses To Say If Killing Christian Kids Is A Hate Crime,2
"Doocy Wrecks Kirby Over Gaslighting on Afghanistan Report, Claim That Purpose 'Is Not Accountability'",2
Jean-Pierre slammed for praising trans kids who 'fight back:' 'Stochastic terrorism from the White House',2
CBS Reporter Blows Up John Kirby Over Afghanistan Report,2
Riley Gaines 'ambushed and physically hit' after Saving Women's Sports speech at San Francisco State,2
"For The Record, NPR Absolutely Is US State Propaganda",2
Yielding to Temptation: Why The Trump Case is a Test Not Just for the President but the Legal System,2
Rep. Donalds to Newsmax: Trump Can Hit the Ground Running,2
Trump's Surprise Millennial Wave: Here Are the Polls They Don't Want You to See,2
Donald Trump: Being detained helped me - Discover Politics,2
Joe Biden Classified Documents Bomb Dropped Live on Jesse Watters' Show,2
"Stormy Daniels Story plot hole
Am I crazy - I just watched Stormy Daniels on Pierre Morgan tell him a story about her asking Trump about his hair because ""at the time Trump was in a bet with Vince Mcmahon on WWE"".

The WWE episodes were in April 2007 and she allegedly had sex with him in June 2006?

This is just all totally fake?",2
More Flexing 🔥 one down two to go,2
"Transgender Suspect With Communist Manifesto Arrested For Planning Shootings At Schools, Churches: Police",2
"Ex-ABC News producer James Meek indicted on three child pornography counts, year after FBI raid",2
Biden Blames Trump For Afghanistan Exit,2
"Small Businesses Going Bankrupt at Record Pace, Higher Than During Pandemic",2
Millionaire Tech Founder Murdered in Ultra-Liberal City – Sends Shockwaves Across America,2
US House Speaker Meets With Taiwan's President,2
"Jim Jordan Checkmates Manhattan DA, Subpoenas Alvin Bragg’s Star Prosecutor Who Abruptly Resigned Last Year",2
Former Porn Star Stormy Daniels talks about her Day that she allegedly Slept With Trump despite a Signed Letter from her admitting an Affair never happened,2
Rep. Donalds Announces Trump Endorsement,2
Eric Trump to Newsmax: N.Y. Spent $200M Investigating Father,2
Rep. Jordan Subpoenas Pomerantz in Trump Indictment Oversight,2
North Carolina Dem Rep. Switches to GOP After Being Attacked By Own Party — Gives Republicans Veto-Proof Majority,2
"GOP Preparing INDICTMENT OF BIDEN, Democrats PANIC As Trump Indictment BACKFIRES",2
